revenue_id,client_id,client_name,project_id,project_name,invoice_id,contract_id,revenue_period,revenue_date,revenue_amount,currency,revenue_type,revenue_stream,monthly_recurring_revenue_mrr,annual_recurring_revenue_arr,gross_revenue,net_revenue,tax_amount,profit_margin,recognition_date,payment_status,outstanding_amount,collection_days,revenue_growth_percentage,revenue_band,forecast_revenue,upsell_revenue,country,billing_frequency
REV00001,CLT008,Ferguson-Keller,PRJ001,Iterate Next-Generation E-Commerce,INV00001,CON048,Oct-25,30-10-2025,2357113,SGD,Recognized,Recurring,196426.08,2357113,2357113,1932832.66,424280.34,37.93,04-11-2025,Paid,234053,22,29.19,High,2953485,467759,UK,Monthly
REV00002,CLT001,Oliver-Robinson,PRJ006,Extend Collaborative Action-Items,INV00002,CON045,Feb-26,20-02-2026,3595146,USD,Deferred,One-time,299595.5,3595146,3595146,2948019.72,647126.28,27.01,25-02-2026,Paid,582738,24,-2.08,High,4598365,53587,India,Annual
REV00003,CLT024,"Murphy, Hayden and Williams",PRJ019,Re-Intermediate Bleeding-Edge Markets,INV00003,CON013,Nov-25,21-11-2025,633470,INR,Deferred,One-time,52789.17,633470,633470,519445.4,114024.6,48.91,26-11-2025,Partial,173346,34,31.38,Medium,852375,448432,UK,Annual
REV00004,CLT011,Browning-Bolton,PRJ015,Orchestrate Proactive Supply-Chains,INV00004,CON025,Oct-25,21-10-2025,2314486,INR,Deferred,One-time,192873.83,2314486,2314486,1897878.52,416607.48,15.86,26-10-2025,Paid,721590,76,-1.82,High,2655374,402817,India,Quarterly
REV00005,CLT016,"Sanchez, Hess and Watkins",PRJ018,Unleash Cutting-Edge Experiences,INV00005,CON035,Nov-25,19-11-2025,2254036,SGD,Recognized,Recurring,187836.33,2254036,2254036,1848309.52,405726.48,8.84,24-11-2025,Partial,612982,59,38.87,High,2636816,114987,UK,Monthly
REV00006,CLT001,"White, Esparza and Miles",PRJ004,Strategize Integrated Applications,INV00006,CON044,Jun-25,15-06-2025,4554433,USD,Accrued,One-time,379536.08,4554433,4554433,3734635.06,819797.94,9.05,20-06-2025,Partial,559572,103,23.46,High,4934571,227942,India,Annual
REV00007,CLT034,"Cain, Potter and Vazquez",PRJ001,Envisioneer Killer Schemas,INV00007,CON039,Feb-26,25-02-2026,2769218,INR,Recognized,Recurring,230768.17,2769218,2769218,2270758.76,498459.24,6.09,02-03-2026,Pending,40845,19,40.75,High,3637690,436032,India,Monthly
REV00008,CLT035,Diaz-Hughes,PRJ007,Enable End-To-End Technologies,INV00008,CON046,Dec-25,16-12-2025,2664865,INR,Recognized,Recurring,222072.08,2664865,2664865,2185189.3,479675.7,12.93,21-12-2025,Partial,783119,61,38.98,High,3159053,129973,USA,Annual
REV00009,CLT014,"Walker, Hunt and Castro",PRJ018,Scale Extensible Web-Readiness,INV00009,CON009,Jun-25,26-06-2025,4840256,INR,Deferred,One-time,403354.67,4840256,4840256,3969009.92,871246.08,20.77,01-07-2025,Paid,991262,36,32.08,High,6254816,99829,UK,Quarterly
REV00010,CLT029,Malone-Ingram,PRJ005,Streamline Synergistic Initiatives,INV00010,CON028,Nov-25,05-11-2025,1589209,INR,Recognized,Recurring,132434.08,1589209,1589209,1303151.38,286057.62,28.81,10-11-2025,Paid,485100,36,37.47,Medium,1704610,423636,Australia,Monthly
